u,g,r,i,z,u_g,g_r,r_i,i_z,redshift,class
20.47123,18.93483,17.71306,17.16362,16.87426,1.5363999999999969,1.221770000000003,0.549439999999997,0.28936000000000206,0.2019425,QSO
20.44367,20.22139,20.01551,19.76288,19.7248,0.22228000000000137,0.2058800000000005,0.2526299999999999,0.03808000000000078,1.698292,QSO
19.35034,17.72543,16.84963,16.45304,16.1106,1.6249099999999999,0.8757999999999981,0.3965899999999998,0.34243999999999986,0.07817412,GALAXY
22.18307,21.96908,21.47665,21.44044,20.92768,0.21398999999999901,0.49243000000000237,0.03621000000000052,0.5127600000000001,2.017755,QSO
22.02884,21.49417,21.43099,21.41881,20.88443,0.5346699999999984,0.06317999999999913,0.012180000000000746,0.5343800000000023,2.330361,QSO
18.89149,17.89607,17.55312,17.40602,17.34567,0.9954199999999993,0.34295000000000186,0.14709999999999823,0.060350000000003234,-6.234998e-05,STAR
19.43818,18.54769,18.303,18.19419,18.16847,0.8904899999999998,0.24468999999999852,0.10881000000000185,0.025719999999999743,-0.0009750092,STAR
21.76061,21.58816,20.68811,19.73449,19.46717,0.17245000000000132,0.9000499999999967,0.9536200000000008,0.26732000000000156,0.6927731,GALAXY
18.93268,17.95907,17.59715,17.4666,17.42253,0.9736100000000008,0.36192000000000135,0.1305499999999995,0.044070000000001386,0.0003236133,STAR
20.97079,19.65724,19.19197,18.96632,18.88312,1.3135499999999993,0.4652700000000003,0.22565000000000168,0.08319999999999794,3.265794e-05,STAR
22.47845,21.06069,20.87587,20.63371,20.71431,1.4177599999999977,0.18482000000000198,0.24215999999999838,-0.08060000000000045,0.0009465807,STAR
21.78671,20.15908,19.45964,19.1613,19.06049,1.62763,0.6994399999999992,0.2983399999999996,0.10080999999999918,-0.0001854181,STAR
19.50148,19.22632,19.11061,18.92358,18.83533,0.2751599999999996,0.11570999999999998,0.18703000000000003,0.08825000000000216,0.5460722,QSO
23.02137,21.92758,21.27142,21.09412,20.8743,1.093790000000002,0.6561599999999999,0.1772999999999989,0.21981999999999857,0.241274,GALAXY
25.39978,23.24356,21.80468,20.35279,19.98845,2.156220000000001,1.4388799999999975,1.4518900000000023,0.36433999999999855,-4.846149e-05,STAR
18.91251,17.94141,17.60201,17.4748,17.41305,0.9710999999999999,0.33940000000000126,0.1272100000000016,0.06174999999999997,-0.0004461268,STAR
21.76213,21.60615,21.50138,21.35568,20.84948,0.15597999999999956,0.10476999999999848,0.1457000000000015,0.5061999999999998,0.6862385,QSO
23.88881,20.93974,20.42581,20.28139,20.21701,2.949069999999999,0.513930000000002,0.14442000000000021,0.06437999999999988,0.0001714525,STAR
22.12719,21.77656,21.6135,21.60968,21.0347,0.3506299999999989,0.16306000000000154,0.003819999999997492,0.57498,0.000283897,STAR
22.9835,21.42924,20.59062,19.91889,19.6525,1.5542599999999993,0.8386199999999988,0.6717300000000002,0.26639000000000124,0.465699,QSO
21.49113,20.39242,20.04534,19.91674,19.82755,1.098709999999997,0.34708000000000183,0.12859999999999872,0.0891900000000021,-0.0002966596,STAR
21.02955,17.76896,16.16708,15.41735,14.89167,3.2605900000000005,1.6018800000000013,0.7497299999999978,0.5256800000000013,-0.000304567,STAR
23.7043,22.39826,19.56581,18.26512,18.01749,1.3060399999999994,2.8324500000000015,1.3006899999999995,0.2476300000000009,0.6751647,GALAXY
19.77943,18.97114,18.69,18.57874,18.6032,0.8082900000000031,0.28113999999999706,0.11126000000000147,-0.02446000000000126,-0.000349981,STAR
22.43112,20.78306,18.98137,18.3961,17.98744,1.648060000000001,1.8016900000000007,0.5852699999999977,0.40866000000000113,0.3788579,GALAXY
22.40127,21.60704,20.21158,19.45903,19.09809,0.7942299999999989,1.39546,0.7525500000000029,0.3609399999999994,0.4284293,GALAXY
22.4606,21.72454,19.88669,18.94989,18.4732,0.7360599999999984,1.8378499999999995,0.9368000000000016,0.4766900000000014,0.4811283,GALAXY
22.92726,21.42177,20.3233,19.68548,19.22643,1.5054900000000018,1.098469999999999,0.6378200000000014,0.45904999999999774,0.3436609,QSO
24.32304,22.07965,20.66609,19.7328,18.97858,2.243389999999998,1.4135600000000004,0.9332899999999995,0.7542200000000001,0.4994481,GALAXY
22.47172,21.1699,20.84933,20.9973,21.07385,1.3018200000000029,0.32057,-0.14797000000000082,-0.076550000000001,-0.0009200891,STAR
21.62683,21.17291,20.82467,20.66648,20.62719,0.4539200000000001,0.34824000000000055,0.15819000000000116,0.03929000000000116,0.0002283607,STAR
23.21647,20.95602,19.42521,18.96135,18.5692,2.2604500000000023,1.530809999999999,0.4638600000000004,0.3921500000000009,0.0004164796,STAR
21.75721,21.13208,20.95785,21.09414,20.55061,0.6251300000000022,0.1742299999999979,-0.1362899999999989,0.5435300000000005,2.539545,QSO
24.11321,21.99949,20.37273,19.20118,18.75832,2.113719999999997,1.6267600000000009,1.1715499999999999,0.4428599999999996,0.5648335,GALAXY
22.50603,21.66349,21.28193,21.17206,21.99548,0.8425399999999996,0.38156000000000034,0.1098700000000008,-0.8234200000000023,1.524358,QSO
21.66018,21.73993,21.72342,21.39592,21.28455,-0.07975000000000065,0.016510000000000247,0.32750000000000057,0.11137000000000086,1.962358,QSO
24.09775,21.0181,19.25032,18.4698,18.07747,3.079650000000001,1.767780000000002,0.7805199999999992,0.3923299999999976,0.4418179,GALAXY
17.88651,16.02902,15.39559,15.22379,15.16129,1.857490000000002,0.6334299999999988,0.17180000000000106,0.0625,-0.0001746303,STAR
21.03129,20.59398,20.50939,20.55706,20.20018,0.4373100000000001,0.08458999999999861,-0.0476700000000001,0.3568800000000003,2.477964,QSO
22.53613,21.10077,20.87515,20.71725,20.37715,1.4353599999999993,0.22561999999999927,0.15790000000000148,0.3400999999999996,-2.909631e-05,STAR
22.61293,21.90673,21.78613,21.86125,21.17485,0.706199999999999,0.1205999999999996,-0.0751199999999983,0.686399999999999,2.424563,QSO
18.31992,18.09878,18.39464,18.68811,18.89989,0.22113999999999834,-0.29585999999999757,-0.2934700000000028,-0.21177999999999741,-0.000170211,STAR
18.13291,16.85311,16.34259,16.13837,16.04521,1.279799999999998,0.5105199999999996,0.20422000000000295,0.09315999999999747,0.0001057609,STAR
23.61695,22.95066,21.88188,20.84246,20.71524,0.66629,1.0687800000000003,1.0394199999999998,0.12721999999999767,1.039565,GALAXY
23.83332,21.34708,19.58327,18.80554,18.3992,2.4862400000000022,1.7638099999999994,0.7777299999999983,0.40634000000000015,0.4078278,GALAXY
19.03995,18.07443,17.63075,17.44221,17.32596,0.9655200000000015,0.4436800000000005,0.1885399999999997,0.11625000000000085,-0.0008645905,STAR
22.0631,20.33757,18.58883,17.93401,17.45102,1.7255299999999991,1.748739999999998,0.6548200000000008,0.4829900000000009,0.283342,GALAXY
24.48821,22.38449,20.81278,19.55611,18.94867,2.103719999999999,1.5717099999999995,1.2566699999999997,0.6074400000000004,0.0001204415,STAR
18.25336,16.69821,16.15417,15.99818,15.92371,1.5551500000000011,0.544039999999999,0.15599000000000096,0.07446999999999981,-0.0002154373,STAR
23.65397,24.37293,23.22257,22.62892,22.41803,-0.7189599999999992,1.1503599999999992,0.5936500000000002,0.21088999999999913,0.9448618,GALAXY
22.51895,21.23723,20.60279,19.72131,19.28478,1.28172,0.6344400000000014,0.8814799999999998,0.43652999999999764,0.7863998,GALAXY
21.24336,20.94128,20.69045,20.64161,20.46862,0.3020800000000001,0.25083000000000055,0.04883999999999844,0.17298999999999864,2.524828,QSO
24.48243,23.64334,21.63165,20.10853,19.55938,0.8390900000000023,2.011689999999998,1.5231200000000022,0.5491499999999974,7.220434e-05,STAR
17.57157,16.39016,16.138,16.05895,16.051,1.1814099999999996,0.25215999999999994,0.07905000000000229,0.007950000000001012,5.584212e-05,STAR
24.00048,22.16673,22.05911,20.78066,21.47364,1.8337499999999984,0.10762000000000072,1.2784499999999994,-0.6929799999999986,0.9103151,GALAXY
21.63087,19.61223,18.81312,18.54155,18.39693,2.0186400000000013,0.7991099999999989,0.27157000000000053,0.14461999999999975,-0.0002327622,STAR
24.44641,23.20906,21.43653,20.1034,19.41299,1.2373499999999993,1.7725299999999997,1.3331300000000006,0.69041,-8.781478e-05,STAR
17.47265,16.05179,15.29858,14.89144,14.58494,1.4208600000000011,0.753210000000001,0.40714000000000006,0.3064999999999998,0.07085247,GALAXY
19.45791,19.39292,19.253,19.19358,19.15371,0.0649899999999981,0.13992000000000004,0.05941999999999936,0.039870000000000516,1.413966,QSO
20.94885,19.00023,17.74831,17.24274,16.89598,1.9486200000000018,1.2519199999999984,0.5055699999999987,0.34675999999999974,0.186442,GALAXY
24.85791,21.11456,20.30244,19.93327,19.61609,3.7433499999999995,0.8121200000000002,0.36917000000000044,0.31718000000000046,8.339527e-05,STAR
24.32443,22.30061,21.90626,22.06966,21.78865,2.0238200000000006,0.3943499999999993,-0.16339999999999932,0.2810099999999984,2.961348,QSO
21.60177,21.84535,21.44863,21.42591,21.86787,-0.24358000000000146,0.3967199999999984,0.022720000000003182,-0.4419600000000017,1.397517,QSO
19.92258,19.83875,19.76653,19.45876,19.48383,0.08382999999999896,0.0722200000000015,0.3077699999999979,-0.02506999999999948,1.795493,QSO
23.0757,21.35236,19.4974,18.79673,18.47461,1.7233400000000003,1.854960000000002,0.7006699999999988,0.32212000000000174,0.320247,GALAXY
26.14449,22.87695,21.38698,20.30413,19.59848,3.2675400000000003,1.4899699999999996,1.0828500000000005,0.7056500000000021,0.4712532,GALAXY
23.69065,21.04357,19.79922,19.02055,18.59731,2.6470800000000025,1.2443500000000007,0.7786699999999982,0.42323999999999984,0.5479471,GALAXY
19.85511,18.77816,18.32239,18.15708,18.11898,1.07695,0.4557700000000011,0.16530999999999807,0.03810000000000002,-0.0006264233,STAR
20.66246,18.8943,18.1771,18.20636,17.79092,1.7681599999999982,0.7172000000000018,-0.02926000000000073,0.41544000000000025,-9.708563e-05,STAR
18.24372,17.12742,16.86679,16.73121,16.77781,1.116299999999999,0.26062999999999903,0.13558000000000092,-0.046599999999997976,0.02296161,GALAXY
18.58739,17.74359,17.47419,17.37808,17.36927,0.8437999999999981,0.26940000000000097,0.09610999999999947,0.008810000000000429,-0.0004329668,STAR
22.74959,22.20671,21.63361,20.70672,20.02856,0.5428800000000003,0.5731000000000002,0.9268900000000002,0.6781600000000019,-3.494343e-05,STAR
19.43431,18.24977,17.7885,17.62118,17.53725,1.1845399999999984,0.4612700000000025,0.16732000000000014,0.08392999999999873,0.0001355716,STAR
22.25142,20.48427,18.73506,18.10593,17.6608,1.7671500000000009,1.749209999999998,0.62913,0.44513000000000247,0.3072662,GALAXY
23.64447,21.84365,20.34588,19.34571,19.02896,1.800819999999998,1.4977699999999992,1.0001700000000007,0.316749999999999,0.4778279,GALAXY
25.45575,22.59803,20.96514,19.93273,19.43487,2.857719999999997,1.6328899999999997,1.0324100000000023,0.4978599999999993,0.4810376,GALAXY
22.98287,21.91233,21.36972,21.25299,20.91588,1.0705399999999976,0.5426099999999998,0.11673000000000044,0.33710999999999913,1.006327,QSO
23.76021,21.53071,20.59721,19.85222,19.45994,2.2295000000000016,0.9334999999999987,0.7449900000000014,0.3922799999999995,0.2822417,GALAXY
22.32172,20.36525,18.61735,18.0083,17.68324,1.9564699999999995,1.7479000000000013,0.6090499999999999,0.325059999999997,0.3107221,GALAXY
22.06734,20.92318,20.38571,20.10648,19.9487,1.144160000000003,0.537469999999999,0.2792299999999983,0.15778000000000247,-0.001548917,STAR
21.07274,18.53594,17.41249,16.99108,16.76248,2.5367999999999995,1.1234500000000018,0.42140999999999806,0.22860000000000014,-0.0001448376,STAR
19.64952,17.37439,16.16641,15.57618,15.1623,2.2751300000000008,1.2079799999999992,0.5902299999999983,0.4138800000000007,0.1240716,GALAXY
20.63922,20.24979,19.67928,19.61741,19.57756,0.38943000000000083,0.5705100000000023,0.06186999999999898,0.03985000000000127,1.276495,QSO
22.13887,20.76449,19.46746,18.57003,17.89571,1.3743800000000022,1.2970299999999995,0.89743,0.674319999999998,-5.714557e-05,STAR
20.76753,19.53149,19.13612,18.9714,18.91595,1.2360399999999991,0.39537000000000333,0.1647199999999991,0.05545000000000044,-6.988894e-05,STAR
22.75768,22.06172,20.24813,19.26892,18.80536,0.6959599999999995,1.8135900000000014,0.9792099999999984,0.4635600000000011,0.602332,GALAXY
19.25829,18.34731,18.02798,17.91778,17.85122,0.9109799999999986,0.3193300000000008,0.11019999999999897,0.06655999999999906,0.0001949354,STAR
19.89101,18.24483,17.35159,16.85405,16.49632,1.646180000000001,0.8932399999999987,0.49754000000000076,0.3577300000000001,0.1386541,GALAXY
16.62681,14.80551,13.99782,13.62507,13.36565,1.821299999999999,0.8076899999999991,0.3727500000000017,0.25941999999999865,0.02294005,GALAXY
22.87276,23.58675,21.73884,20.42598,19.67416,-0.713989999999999,1.8479099999999988,1.3128600000000006,0.7518199999999986,0.7814728,GALAXY
23.07697,21.81018,21.65767,21.65026,22.49928,1.2667900000000003,0.15250999999999948,0.007410000000000139,-0.8490199999999994,2.184544,QSO
23.34212,22.29678,21.3266,20.49615,20.35714,1.045340000000003,0.9701799999999992,0.830449999999999,0.13900999999999897,0.6271035,GALAXY
21.68134,20.46096,19.96844,19.834,19.80662,1.2203799999999987,0.49251999999999896,0.13444000000000145,0.027380000000000848,-0.0001826745,STAR
19.26236,18.36806,18.09038,17.96191,17.9335,0.8943000000000012,0.27768000000000015,0.12847000000000008,0.028410000000000935,-0.0004195881,STAR
22.30198,21.18657,20.92726,20.83028,21.0626,1.1154100000000007,0.25930999999999926,0.09698000000000206,-0.23232000000000141,-0.000428351,STAR
21.68685,20.91751,20.83314,20.85509,20.72886,0.7693399999999997,0.08436999999999983,-0.021950000000000358,0.12622999999999962,8.39383e-05,STAR
22.78298,21.46713,20.97397,20.44941,20.20419,1.3158499999999975,0.4931599999999996,0.524560000000001,0.24521999999999977,0.0003281092,STAR
20.70651,19.89089,19.71216,19.61278,19.35347,0.8156200000000027,0.17872999999999806,0.09938000000000002,0.25930999999999926,2.390759,QSO
22.60942,21.41381,21.25971,21.07938,20.7422,1.1956099999999985,0.15410000000000323,0.18032999999999788,0.33718000000000004,2.723454,QSO
20.01025,18.4491,17.52036,17.06426,16.69191,1.5611499999999978,0.9287400000000012,0.4560999999999993,0.37235000000000085,0.1210262,GALAXY
19.40525,18.10316,17.59093,17.36963,17.27082,1.3020899999999997,0.5122299999999989,0.22129999999999939,0.09881000000000029,0.0001249606,STAR
22.88181,21.9757,21.66674,21.56957,20.84288,0.9061100000000017,0.308959999999999,0.09717000000000198,0.7266899999999978,1.985684,QSO
22.89275,22.03754,20.79995,19.73795,19.27425,0.8552099999999996,1.2375900000000009,1.0619999999999976,0.4637000000000029,0.6656002,GALAXY
21.12695,20.46178,20.07679,20.03693,19.78501,0.6651699999999998,0.38499000000000194,0.03985999999999734,0.2519200000000019,0.9476827,QSO
21.82837,21.59992,21.27969,21.30226,21.12433,0.2284499999999987,0.32023000000000224,-0.022570000000001755,0.17792999999999992,1.214311,QSO
24.19219,22.86654,21.79216,21.74923,21.6549,1.3256499999999996,1.0743800000000014,0.04292999999999836,0.09432999999999936,1.335466,GALAXY
24.61429,21.65659,20.55107,19.33315,18.6304,2.957699999999999,1.105520000000002,1.2179199999999994,0.7027499999999982,-0.0001795991,STAR
22.19857,20.04321,19.81322,19.66643,19.44845,2.1553600000000017,0.22998999999999725,0.14679000000000286,0.21797999999999718,3.063083,QSO
21.76728,21.52585,21.43855,21.03934,21.42298,0.24143000000000114,0.08729999999999905,0.39921000000000006,-0.38363999999999976,1.795401,QSO
21.71749,21.69185,21.52476,21.54826,21.303,0.02564000000000277,0.16708999999999818,-0.023499999999998522,0.24525999999999826,2.295346,QSO
20.05213,20.06299,20.0988,19.7839,19.73375,-0.01086000000000098,-0.03581000000000145,0.3149000000000015,0.050149999999998585,2.110469,QSO
20.23659,19.70898,19.50873,19.57934,19.28561,0.5276099999999992,0.20025000000000048,-0.07060999999999851,0.29373000000000005,0.7871324,QSO
18.43642,17.10587,16.63675,16.47567,16.42347,1.3305499999999988,0.4691200000000002,0.16107999999999834,0.05220000000000269,-2.33211e-06,STAR
24.11684,22.02095,20.24043,19.27464,18.95721,2.0958900000000007,1.7805199999999992,0.9657899999999984,0.31743000000000166,0.5010176,GALAXY
21.97381,20.99185,20.97245,21.12509,21.93364,0.9819600000000008,0.019400000000000972,-0.15264000000000166,-0.8085500000000003,8.380123e-05,STAR
22.53996,20.50987,18.78796,18.00719,17.53885,2.0300900000000013,1.7219099999999976,0.7807700000000004,0.4683400000000013,0.4482571,GALAXY
24.14328,21.97367,21.7486,21.97361,21.12333,2.1696100000000023,0.22506999999999877,-0.22501000000000104,0.8502800000000015,2.538757,QSO
21.79949,21.93757,21.81394,21.66336,21.51839,-0.1380800000000022,0.12363000000000213,0.15057999999999794,0.1449700000000007,1.484859,QSO
19.26079,17.71846,16.85706,16.4086,16.05199,1.5423299999999998,0.8613999999999997,0.44846000000000075,0.35660999999999987,0.108029,GALAXY
24.70714,21.73666,19.81406,19.02378,18.66138,2.9704799999999985,1.9225999999999992,0.7902800000000028,0.3623999999999974,6.867749,QSO
19.97105,18.32401,17.48876,17.14057,16.82545,1.6470400000000005,0.835250000000002,0.3481899999999989,0.3151200000000003,0.1111778,GALAXY
20.08076,20.06793,19.66458,19.68228,19.77201,0.012830000000001007,0.40334999999999965,-0.01769999999999783,-0.08973000000000297,1.263693,QSO
23.20786,21.56635,20.55303,20.2076,20.07312,1.6415100000000002,1.0133200000000002,0.34543000000000035,0.13447999999999993,8.682504e-05,STAR
21.88559,21.33269,21.11853,21.01641,20.29985,0.5529000000000011,0.21415999999999968,0.10211999999999932,0.7165600000000012,2.105335,QSO
18.49856,17.51276,17.10365,16.95875,16.8925,0.9858000000000011,0.40911000000000186,0.1448999999999998,0.06625000000000014,-0.0005217095,STAR
21.97975,21.69649,21.33986,21.11047,21.759,0.2832599999999985,0.3566299999999991,0.2293900000000022,-0.6485300000000009,1.556086,QSO
23.649,21.60302,20.97313,20.54816,20.03955,2.04598,0.6298899999999996,0.42497000000000185,0.5086100000000009,3.132808,QSO
16.87588,15.71278,15.32455,15.21576,15.23622,1.1630999999999982,0.3882300000000001,0.10879000000000083,-0.020459999999999923,-0.0002938306,STAR
21.0016,19.50506,18.16639,17.60248,17.19306,1.4965399999999995,1.3386700000000005,0.5639099999999999,0.4094200000000008,0.2332101,GALAXY
21.43465,20.5908,20.41125,20.06803,19.86979,0.8438499999999998,0.17955000000000254,0.34321999999999875,0.19824000000000197,0.6493902,QSO
20.52151,18.41575,17.32604,16.81789,16.40168,2.10576,1.0897100000000002,0.5081500000000005,0.4162099999999995,0.1283462,GALAXY
24.37644,22.33911,20.54725,19.64931,19.22921,2.037329999999997,1.7918600000000033,0.8979399999999984,0.4201000000000015,0.4888344,GALAXY
26.57273,22.03523,20.57905,19.66611,19.23147,4.537500000000001,1.4561799999999998,0.912939999999999,0.43463999999999814,-0.0001106103,STAR
23.26601,22.61178,20.7462,19.6721,19.23291,0.6542300000000019,1.8655799999999978,1.0741000000000014,0.43918999999999997,0.5636902,GALAXY
21.9634,19.68957,19.20311,18.24205,22.82691,2.2738300000000002,0.486460000000001,0.9610599999999998,-4.584860000000003,0.05971116,GALAXY
21.49487,21.38321,20.94079,20.76862,20.7031,0.11166000000000054,0.4424199999999985,0.17217000000000127,0.06551999999999936,1.340817,QSO
18.7654,17.20161,16.53147,16.25993,16.09463,1.563790000000001,0.67014,0.2715399999999981,0.165300000000002,-0.000128277,STAR
20.88083,20.46064,20.17691,20.05899,19.76094,0.42018999999999807,0.28373000000000204,0.11791999999999803,0.2980499999999999,2.136328,QSO
21.30309,20.67854,20.62993,20.53562,20.3172,0.6245499999999993,0.04861000000000004,0.09431000000000012,0.21842000000000183,2.116208,QSO
21.5714,18.94348,17.60908,16.99118,16.59868,2.6279199999999996,1.3344000000000023,0.6178999999999988,0.3924999999999983,-2.703969e-05,STAR
19.93358,18.92287,18.60383,18.4795,18.41824,1.0107099999999996,0.3190400000000011,0.12432999999999694,0.06126000000000076,-0.0001626614,STAR
23.88485,21.56513,20.0736,18.66438,17.92829,2.3197200000000002,1.491530000000001,1.4092199999999977,0.7360900000000008,-9.690251e-05,STAR
21.23728,20.36835,20.5465,20.50462,20.22672,0.8689299999999989,-0.17815000000000225,0.04188000000000258,0.2778999999999989,2.341493,QSO
21.97689,21.94265,21.87097,21.97611,21.72211,0.03424000000000049,0.07168000000000063,-0.10513999999999868,0.2539999999999978,-0.0006027561,GALAXY
22.0148,21.18263,21.04059,21.06221,20.88989,0.8321700000000014,0.14203999999999795,-0.02161999999999864,0.17231999999999914,0.0002970773,STAR
23.68798,23.83112,21.64135,20.48737,19.73212,-0.14313999999999893,2.1897699999999993,1.1539800000000007,0.7552500000000002,0.7328814,GALAXY
23.71514,21.96076,22.32526,21.91821,20.66392,1.7543800000000012,-0.3644999999999996,0.4070500000000017,1.2542899999999975,0.673216,QSO
24.71183,22.06205,20.30462,19.44217,19.01767,2.64978,1.7574299999999994,0.862449999999999,0.4245000000000019,0.4806794,GALAXY
20.50314,19.74917,19.61854,19.58352,19.42087,0.7539699999999989,0.13063000000000002,0.035019999999999385,0.1626499999999993,2.684394,QSO
17.92085,16.09665,15.22353,14.76663,14.43068,1.8242000000000012,0.8731200000000001,0.45690000000000097,0.33594999999999864,0.03798838,GALAXY
21.31071,20.46175,20.02882,19.94795,19.86327,0.8489600000000017,0.4329299999999989,0.08087000000000089,0.08467999999999876,0.7192872,QSO
21.55698,19.02748,17.6109,16.60032,16.05798,2.5294999999999987,1.4165799999999997,1.010580000000001,0.5423399999999994,1.39317e-05,STAR
21.48563,21.19696,21.43702,21.20822,21.36911,0.28866999999999976,-0.24005999999999972,0.22879999999999967,-0.16088999999999842,1.973471,QSO
23.57054,20.68526,20.01888,19.8397,19.80287,2.8852800000000016,0.6663800000000002,0.17917999999999878,0.03683000000000192,3.489627,QSO
19.76555,18.5298,18.00929,17.7938,17.69975,1.2357499999999995,0.5205100000000016,0.21548999999999907,0.0940499999999993,-0.0003232131,STAR
19.50094,18.2884,17.63873,17.27837,17.05037,1.2125400000000006,0.6496700000000004,0.36036,0.22799999999999798,0.1081447,GALAXY
24.82746,22.08577,20.90002,19.65545,19.19375,2.7416899999999984,1.1857499999999987,1.244570000000003,0.4616999999999969,0.5804024,GALAXY
22.47786,22.42093,21.76964,21.22739,21.00265,0.05693000000000126,0.6512899999999995,0.5422499999999992,0.2247400000000006,0.7013081,GALAXY
22.7856,22.97449,21.24181,20.56713,20.15092,-0.18889000000000067,1.7326799999999984,0.6746800000000022,0.4162099999999995,0.4691242,QSO
19.61115,18.7274,18.00258,17.62308,17.39584,0.8837499999999991,0.7248200000000011,0.3794999999999966,0.22724000000000188,0.1565209,GALAXY
25.11965,22.25435,21.50922,21.25117,21.32453,2.8653000000000013,0.7451299999999996,0.2580500000000008,-0.07336000000000098,0.9766676,GALAXY
22.18958,22.27971,21.25274,20.78035,20.47637,-0.09013000000000204,1.0269700000000022,0.47239000000000075,0.30397999999999925,0.8113293,GALAXY
20.53104,20.24453,20.13266,19.9777,18.81611,0.2865099999999998,0.11186999999999969,0.15496000000000265,1.1615900000000003,-0.000712021,STAR
24.34593,22.61868,21.88983,21.24616,20.7909,1.727249999999998,0.7288500000000013,0.6436700000000002,0.4552599999999991,6.462293,QSO
21.44117,21.32325,21.17949,21.07795,20.99845,0.11791999999999803,0.14376000000000033,0.10153999999999996,0.07950000000000301,1.333003,QSO
25.54381,24.76371,22.60951,21.07317,19.98653,0.7801000000000009,2.1541999999999994,1.5363399999999992,1.0866400000000027,-0.0002226192,STAR
22.54743,19.72319,18.24353,16.76822,15.93782,2.8242399999999996,1.479659999999999,1.4753100000000003,0.8303999999999991,0.0001526034,STAR
20.67572,20.54528,20.34678,20.36685,20.25736,0.13043999999999656,0.19850000000000279,-0.020070000000000476,0.10949000000000098,1.300095,QSO
25.50321,22.70285,21.06808,20.9348,20.81739,2.8003599999999977,1.6347700000000032,0.13327999999999918,0.11740999999999957,-6.259513e-05,STAR
22.10378,20.58469,18.87433,18.27389,17.93027,1.519090000000002,1.7103599999999979,0.600439999999999,0.34362000000000137,0.0,GALAXY
21.04063,21.2048,21.02401,20.95827,20.99182,-0.1641699999999986,0.18078999999999823,0.06574000000000169,-0.033550000000001745,1.402944,QSO
21.15474,21.43411,20.9661,20.967,20.71536,-0.2793700000000001,0.4680099999999996,-0.0008999999999979025,0.2516399999999983,1.254102,QSO
22.98296,20.29148,19.78395,19.65965,19.46838,2.6914799999999985,0.5075299999999991,0.12430000000000163,0.19126999999999938,3.3166,QSO
25.84469,22.34638,20.68712,19.67604,19.25478,3.49831,1.6592599999999997,1.0110799999999998,0.4212600000000002,0.5608551,GALAXY
21.98076,21.51342,21.60724,21.37384,21.34251,0.4673400000000001,-0.0938200000000009,0.2333999999999996,0.031330000000000524,1.60023,QSO
21.77988,21.5521,21.47637,21.09006,20.51553,0.2277799999999992,0.07573000000000008,0.38630999999999815,0.5745300000000029,1.754987,QSO
19.73624,19.2825,19.28589,19.11639,19.16514,0.4537399999999998,-0.00338999999999956,0.16949999999999932,-0.04875000000000185,0.614185,QSO
22.3171,21.61348,20.66599,20.2333,19.91435,0.7036200000000008,0.9474899999999984,0.4326900000000009,0.31895000000000095,-0.0002799443,STAR
21.19289,21.17017,21.07792,20.96257,20.56594,0.02271999999999963,0.09224999999999994,0.1153499999999994,0.39662999999999826,1.001139,QSO
20.31364,19.28282,18.97899,18.8683,18.83255,1.0308199999999985,0.3038300000000014,0.11068999999999818,0.03575000000000017,-0.0006608444,STAR
